"bsq_regra";"bsq_situacao_iniciada";"bsq_situacao_por"
"(81)_88";"88";"81"
"(90)_88";"88";"90"
"(18)_88";"88";"18"
"(9)_88";"88";"9"
"(82)_88";"88";"82"
"(24)_88";"88";"24"
"(26)_88";"88";"26"
"(65)_88";"88";"65"
"(62)_88";"88";"62"
"(27)_88";"88";"27"
"(28)_88";"88";"28"
"(29)_88";"88";"29"
"(97)_88";"88";"97"
"(98)_88";"88";"98"
"(20)_88";"88";"20"
"(106)_88";"88";"106"
"(107)_88";"88";"107"
"(99)_88";"88";"99"
"(100)_88";"88";"100"
"(105)_88";"88";"105"
"(101)_88";"88";"101"
"(103)_88";"88";"103"
"(102)_88";"88";"102"
"(104)_88";"88";"104"
"(137)_88";"88";"137"
"(91)_88";"88";"91"
"(72)_88";"88";"72"
"(37)_88";"88";"37"
"(131)_88";"88";"131"
"(120)_88";"88";"120"
"(119)_88";"88";"119"
"(61)_88";"88";"61"
"(40)_88";"88";"40"
"(130)_88";"88";"130"
"(118)_88";"88";"118"
"(153)_88";"88";"153"
"(129)_88";"88";"129"
"(81)_25";"25";"81"
"(90)_25";"25";"90"
"(18)_25";"25";"18"
"(9)_25";"25";"9"
"(82)_25";"25";"82"
"(24)_25";"25";"24"
"(26)_25";"25";"26"
"(65)_25";"25";"65"
"(62)_25";"25";"62"
"(27)_25";"25";"27"
"(28)_25";"25";"28"
"(29)_25";"25";"29"
"(97)_25";"25";"97"
"(98)_25";"25";"98"
"(20)_25";"25";"20"
"(106)_25";"25";"106"
"(107)_25";"25";"107"
"(99)_25";"25";"99"
"(100)_25";"25";"100"
"(105)_25";"25";"105"
"(101)_25";"25";"101"
"(103)_25";"25";"103"
"(102)_25";"25";"102"
"(104)_25";"25";"104"
"(137)_25";"25";"137"
"(91)_25";"25";"91"
"(72)_25";"25";"72"
"(37)_25";"25";"37"
"(131)_25";"25";"131"
"(120)_25";"25";"120"
"(119)_25";"25";"119"
"(61)_25";"25";"61"
"(40)_25";"25";"40"
"(130)_25";"25";"130"
"(118)_25";"25";"118"
"(153)_25";"25";"153"
"(129)_25";"25";"129"
